Date,IBM,MSFT,HD,XOM,AAPL
9/25/2008,0.031325079,0.034453424,0.031123139,0.033766601,0.025046816
9/26/2008,-0.005734253,0.030016447,0.025809274,-0.000136668,-0.028012484
9/29/2008,-0.041542759,-0.08742515,-0.055863539,-0.081738655,-0.179183961
9/30/2008,0.021812712,0.067366579,0.036133695,0.048526347,0.079763381
10/1/2008,-0.0583364,-0.008196721,0.001307759,0.011925043,-0.039939913
10/2/2008,-0.048954466,-0.008677686,-0.040922943,-0.013748597,-0.082650713
10/3/2008,-0.012431933,0.002917882,-0.042215161,0.0056899,-0.030199659
10/6/2008,-0.027257595,-0.05361596,-0.041706161,-0.007920792,0.010966274
10/7/2008,-0.049411765,-0.06763285,-0.040553907,-0.016253208,-0.091485878
10/8/2008,-0.053330333,-0.009420631,-0.032989691,0.012318841,0.007096193
10/9/2008,-0.017114333,-0.030908226,-0.058635394,-0.116964925,-0.011743653
10/10/2008,-0.014026602,-0.035819431,-0.009060023,-0.082846952,0.090878225
10/13/2008,0.050772627,0.186259542,0.099428571,0.171822521,0.13901857
10/14/2008,0.015172736,-0.054912055,-0.02962578,-0.00844773,-0.056016031
10/15/2008,-0.056794665,-0.059918293,-0.05891805,-0.139510117,-0.058954072
10/16/2008,0.036567528,0.067600193,-0.006260672,0.113861386,0.040192761
10/17/2008,-0.007996237,-0.010854817,0.025773196,-0.02031746,-0.044061114
10/20/2008,0.018966335,0.033379058,0.027917365,0.102073882,0.010723861
10/21/2008,-0.039436947,-0.055309735,-0.01249321,-0.046456924,-0.070597837
10/22/2008,-0.059222478,-0.078220141,-0.051155116,-0.096978107,0.058836443
10/23/2008,0.009011329,0.036585366,-0.020869565,0.09014854,0.013995439
10/24/2008,-0.027047716,-0.016176471,-0.029011249,-0.019107283,-0.018811982
10/27/2008,-0.029373197,-0.035376183,0.02195122,-0.042790995,-0.044493071
10/28/2008,0.095649824,0.090392562,0.140214797,0.132610509,0.084841876
10/29/2008,0.010604192,-0.004263382,0.003663004,-0.002798233,0.046441496
10/30/2008,0.02818448,-0.016175071,0.049530761,0.005464481,0.062151777
10/31/2008,0.025157233,-0.013056093,0.038251366,-0.012485311,-0.031111513
11/3/2008,-0.003125362,0.013228809,-0.057894737,0.00237989,-0.005880706
11/4/2008,0.007779842,0.040135397,0.05281869,0.043033091,0.037746479
11/5/2008,-0.036985828,-0.061831706,-0.053063193,-0.049082373,-0.069308722
11/6/2008,-0.047977985,-0.054013875,-0.05501783,-0.050568522,-0.04063776
11/7/2008,0.013070253,0.02933473,0.005929919,0.063031831,-0.008715039
11/10/2008,-0.027788116,-0.009160305,-0.015005359,0.001037652,-0.024023717
11/11/2008,-0.013525584,-0.004622496,-0.011425462,-0.018510292,-0.011626689
11/12/2008,-0.036217824,-0.042311662,-0.034672537,-0.051146651,-0.049067401
11/13/2008,0.056099852,0.046336207,0.123147092,0.093973605,0.070210632
11/14/2008,-0.046130385,-0.05561277,-0.076142132,-0.022965116,-0.064354889
11/17/2008,-0.035438316,-0.037077426,-0.026373626,-0.004165427,-0.023260991
11/18/2008,0.033563536,0.022650057,0.035553047,0.040334628,0.020168642
11/19/2008,-0.051316317,-0.068106312,-0.045776567,-0.038196439,-0.04032168
11/20/2008,-0.05564164,-0.041592395,-0.062821245,-0.066885638,-0.067155493
11/21/2008,0.043705251,0.122752635,0.041438147,0.10656,0.025951341
11/24/2008,0.066885808,0.051352844,0.110590989,0.039473684,0.125501642
11/25/2008,0.009511052,-0.033613445,0.038988409,-0.008763389,-0.023122636
11/26/2008,0.012738854,0.025,0.05831643,0.03564412,0.046233824
11/28/2008,-0.000917191,-0.013255567,-0.018687111,-0.009214092,-0.024526906
12/1/2008,-0.05757377,-0.079527136,-0.082519531,-0.072893873,-0.040316463
12/2/2008,0.038268856,0.028604787,0.041511442,0.044401829,0.039751553
12/3/2008,0.010320332,0.038024972,0.041389882,0.017090395,0.03714565
12/4/2008,-0.040063677,-0.03827228,0.02060844,-0.033745313,-0.046811184
12/5/2008,0.04076838,0.039795338,0.050480769,0.004311584,0.028345419
12/8/2008,0.052981012,0.056861673,-0.005949657,0.039210074,0.060790598
12/9/2008,-0.025598991,-0.019141231,-0.043278085,-0.017625998,0.003424313
12/10/2008,0.002070661,0.000527426,0.0466795,0.023969722,-0.018468333
12/11/2008,-0.027508718,-0.05640485,-0.053333333,-0.000684463,-0.032723182
12/12/2008,0.020053121,-0.004469274,0.020883924,0.005342466,0.034464531
12/15/2008,0.006900143,-0.016835017,-0.002378687,-0.006131626,-0.035871231
12/16/2008,0.043832428,0.056506849,0.038626609,0.039895805,0.007207971
12/17/2008,-0.006441224,-0.022690438,0.015610652,-0.02504944,-0.065670385
12/18/2008,-0.02144371,-0.018242123,-0.00994575,-0.050033807,0.003041226
12/19/2008,-0.005733214,-0.009009009,-0.009589041,-0.025765125,0.006400898
12/22/2008,-0.018323936,0.002840909,-0.020285846,-0.001461134,-0.04742245
12/23/2008,-0.016838533,0.00509915,-0.004705882,0.002487562,0.007496779
12/24/2008,-0.001062135,-0.005636979,0.004728132,0.009049774,-0.015463318
12/26/2008,0.01010101,-0.002267574,-0.007058824,0.018660495,0.008974965
12/29/2008,-0.001052632,-0.008522727,-0.008530806,0.010792389,0.009363296
12/30/2008,0.028319283,0.020057307,-0.010516252,0.007305423,-0.003710575
12/31/2008,0.00730114,0.00505618,-0.003864734,0.015760112,-0.010824022
1/2/2009,0.038148525,0.045835662,0.048011639,0.022655499,0.063183904
1/5/2009,-0.006246938,0.00908605,0.024062934,-0.000134264,0.042275343
1/6/2009,0.027733268,0.011652542,0.022141889,-0.016248154,-0.016564026
1/7/2009,-0.016190933,-0.060209424,-0.026967286,-0.025525526,-0.021593608
1/8/2009,-0.006948677,0.031754875,-0.007723762,0.010645749,0.018538954
1/9/2009,-0.028357476,-0.030237581,-0.021520147,-0.019126819,-0.022860238
1/12/2009,0.011876184,-0.002227171,-0.037435657,-0.013282464,-0.021177514
1/13/2009,-0.004370084,0.017857143,-0.01993194,0.018043821,-0.010647938
1/14/2009,-0.025081515,-0.036732456,-0.026785714,-0.036292024,-0.027135333
1/15/2009,0.011062516,0.007968127,0.041284404,0.020872865,-0.022949276
1/16/2009,0.009541985,0.024280068,0.017131669,0.01873034,-0.012527102
1/20/2009,-0.034656585,-0.062293275,-0.052454283,-0.023157895,-0.050134179
1/21/2009,0.115274151,0.048206937,0.013204672,0.038936782,0.059201233
1/22/2009,-0.014865972,-0.116657319,-0.013533835,-0.012999585,0.066682832
1/23/2009,-0.00641635,0.005079365,-0.011686992,-0.002381953,0
1/26/2009,0.023558957,0.024636766,0.046786632,0.007162921,0.014548761
1/27/2009,0.000701016,0.001849568,-0.027013752,0.004044066,0.012099485
1/28/2009,0.034442499,0.021538462,0.039878849,0.004166667,0.038299756
1/29/2009,-0.024379233,-0.024698795,-0.04368932,-0.02835408,-0.012793177
1/30/2009,-0.009254975,-0.027794935,-0.021319797,-0.00683274,-0.030885529
2/2/2009,-0.007823447,0.042566709,0.002074689,0.002723233,0.015377758
2/3/2009,0.028009886,0.037172456,0.016045549,0.018724986,0.016022827
2/4/2009,-0.0069834,0.007050529,-0.008660214,-0.005893083,0.006156837
2/5/2009,-0.004496196,0.022170362,0.030832477,0.027240649,0.031132582
2/6/2009,0.046091488,0.032534247,0.050348953,0.012091234,0.033732431
