Month,Year,Expert #1,Expert #2,Expert #3,Expert #4,Dart #1,Dart #2,Dart #3,Dart #4,DJIA,Average ,Diff
Jun,1995,49.3,28.7,-13,-21.7,33.5,19.6,-3.6,-13.7,19.5,10.825,-8.675
Jul,1995,244.4,40.1,28,-21.7,22,21.5,5.3,-1.4,16,72.7,56.7
Aug,1995,117.5,14.4,-4.5,-5.4,33.8,19.7,9.7,3,19.6,30.5,10.9
Sep,1995,78.4,31.3,7.2,-10.1,21.8,16.4,11.5,-4.2,15.3,26.7,11.4
Oct,1995,182,83.7,29.7,4.5,29.6,2.6,1,-20,14,74.975,60.975
Nov,1995,30.5,25.2,10.8,-16.1,73.3,33.3,-12.4,-23.7,8.2,12.6,4.4
Dec,1995,101.4,20.2,15,-12.8,87.5,31.3,-8.2,-15.3,13.1,30.95,17.85
Jan,1996,3.4,-4.6,-5.7,-37.2,25,24.3,15.3,10.2,9.3,-11.025,-20.325
Feb,1996,60,38.1,9,5.1,5.6,-2.5,-6,-6.8,15,28.05,13.05
Mar,1996,38.7,17.4,13.5,-9.7,74.2,17.4,14.5,-4.3,15.6,14.975,-0.625
Apr,1996,16.7,1.1,-0.5,-11.2,119.2,61.1,21.5,0,18.4,1.525,-16.875
May,1996,37.4,6.7,3.7,-4.8,42.7,36.2,20.3,-1.5,14.8,10.75,-4.05
Jun,1996,89.9,19.6,-39.2,-62.5,40.2,12,6.4,-12.6,9,1.95,-7.05
Jul,1996,6.2,-5.1,-16.5,-21.4,10.9,-4.5,-12.5,-15.1,10.2,-9.2,-19.4
Aug,1996,12.1,7.7,-9.1,-45.2,44,5.9,-5,-34.5,1.3,-8.625,-9.925
Sep,1996,49.4,39.8,24,13.5,32.1,1.2,26.6,29.4,0.6,31.675,31.075
Oct,1996,42.4,34.4,13.3,-55.3,12.7,10.1,5.2,3.3,5.8,8.7,2.9
Nov,1996,24.7,6.8,-1,-2.7,89.3,-7,-33.3,-41,7.2,6.95,-0.25
Dec,1996,20.2,11.3,-0.4,-10.8,14.9,12.6,2.3,-5.1,15.1,5.075,-10.025
Jan,1997,100,47.3,21.2,-3.6,33.2,28.1,-3.2,-30.4,15.5,41.225,25.725
Feb,1997,37.8,32.9,-1,-39.1,17.1,13.2,1,-12.4,19.6,7.65,-11.95
Mar,1997,84.9,68.3,27.9,9.3,42.3,37.3,18,0.9,20.2,47.6,27.4
Apr,1997,-7.6,-8.1,-9,-15.5,8.7,-14.8,-17.5,-43.9,9.6,-10.05,-19.65
May,1997,20.7,0,-8,-67,20.6,12.1,-10.6,-60.9,15.3,-13.575,-28.875
Jun,1997,25.1,17.3,15.5,-15.9,28.4,-9.3,-11.1,-93.5,13.3,10.5,-2.8
Jul,1997,55.2,18.4,8.4,-1.1,35.7,31.7,9.4,-4.9,16.2,20.225,4.025
Aug,1997,60.2,39.8,28,-10.6,21.6,14.5,-16.4,-75.4,20.8,29.35,8.55
Sep,1997,45,37,5.6,-4.8,35.3,26.9,4.4,-66.2,8.3,20.7,12.4
Oct,1997,108.2,46.2,34.4,12.7,134.6,28.7,13.5,-34.3,20.2,50.375,30.175
Nov,1997,84.9,60,4.8,3.7,36.3,33.7,9.7,2.9,3,38.35,35.35
Dec,1997,18.5,12.3,-0.6,-44.3,32.2,4.6,-4,-6.7,3.8,-3.525,-7.325
Jan,1998,35.9,-1,-39.3,-57.9,25,24.4,2.4,-26.1,-0.7,-15.575,-14.875
Feb,1998,23.1,12.2,10.9,10.8,11.9,11.2,-4,-55,-0.3,14.25,14.55
Mar,1998,20.7,17.8,3,2.2,25.1,-2.9,-9.7,-25.7,10.7,10.925,0.225
Apr,1998,43,17.7,8.7,-47.4,34.9,34.8,4,-20.4,7.6,5.5,-2.1
May,1998,55.8,25.5,12.4,-24.2,13.2,4.3,-20.5,-38.9,22.5,17.375,-5.125
Jun,1998,29.1,-8.7,-8.8,-11.7,135,12.8,12.5,-46.3,10.6,-0.025,-10.625
Jul,1998,75.2,22.3,9.6,-9.6,25.3,22.3,-1.7,-33.2,15,24.375,9.375
Aug,1998,182.7,9.3,-9.7,-25.1,26.7,23,-18.7,-71.4,7.1,39.3,32.2
Sep,1998,25.9,5.9,-51.2,-55.9,24,-22.7,-31.9,-51,-13.1,-18.825,-5.725
Oct,1998,18.6,-1.3,-39.2,-58.6,10.8,-35.2,-41.8,-70.5,-11.8,-20.125,-8.325
Nov,1998,2.9,-22.2,-26.6,-48.7,23.2,-9.8,-47.6,-51.9,-6.2,-23.65,-17.45
Dec,1998,67.5,20.8,17.2,-40.1,13.1,-18.2,-34.5,-36.4,1.6,16.35,14.75
Jan,1999,64.2,24.6,22.6,8.2,15.5,-18.4,-19.8,-57.5,0.1,29.9,29.8
Feb,1999,48.9,33,-20.9,-43.9,12.2,7.5,-23.6,-62.9,9.5,4.275,-5.225
Mar,1999,50.3,26,13.4,-4.3,275.4,40.9,6.9,-18,18.3,21.35,3.05
Apr,1999,121.4,12.8,2.8,-3.7,72.3,38,9.4,-21.4,26.4,33.325,6.925
May,1999,66.6,19.5,-4.6,-52.9,15.2,0.6,-3.8,-6.1,22.8,7.15,-15.65
Jun,1999,58.2,37.7,1.1,0,48.7,21.3,9.1,-39.5,17.2,24.25,7.05
Jul,1999,65.4,20,7.7,6.6,43.6,9.4,-30.5,-39.6,15.8,24.925,9.125
Aug,1999,102.5,13.3,-6.3,-15.7,70.2,0.4,-2.8,-17.3,16.1,23.45,7.35
Sep,1999,7.7,5,-17.4,-46.6,39.6,34.2,-17.2,-20.6,11.7,-12.825,-24.525
Oct,1999,18.4,-2.3,-10.3,-22.6,22.4,19.8,-1.9,-12.3,2.5,-4.2,-6.7
Nov,1999,52.1,-7.4,-8.9,-29.9,22.3,10.2,-9.3,-16,-2.1,1.475,3.575
Dec,1999,171.4,113.5,12.9,-27.3,19.4,-4.9,-16.6,-19.2,1.8,67.625,65.825
Jan,2000,44.4,43.5,-13.4,-32.6,36.4,20.2,-21.3,-31.9,2.8,10.475,7.675
Feb,2000,132.2,43.6,35.9,-40.5,591.4,2.8,-0.8,-71.7,2.5,42.8,40.3
Mar,2000,32.6,-18.1,-27.8,-57.5,80.9,37.1,0,-21.7,-8.2,-17.7,-9.5
Apr,2000,187.8,136.9,44.9,1.5,16.2,-2.6,-5.6,-12.9,6.7,92.775,86.075
May,2000,179,68,-18.4,-66,118.4,24.3,-15.7,-71.4,1.2,40.65,39.45
Jun,2000,75.8,2.7,-46.1,-66.3,21.6,-10.3,-11.9,-37,-4.9,-8.475,-3.575
Jul,2000,84.1,-46.6,-51.4,-66.6,22.4,-13.1,-16.4,-23.9,-9.2,-20.125,-10.925
Aug,2000,23.4,21.6,-25.3,-45.9,3.9,-21.8,-46.8,-96.2,-1.7,-6.55,-4.85
Sep,2000,27.2,-5.9,-16.6,-45.2,24.1,-1,-26.5,-52.1,13.8,-10.125,-23.925
Oct,2000,78.9,44.8,-8.9,-55.6,17.8,11.2,4.6,-72.5,-3.5,14.8,18.3
Nov,2000,73.4,58.5,-14.6,-27.1,19.8,2.7,-16.5,-77.7,3.7,22.55,18.85
Dec,2000,22.3,-27.9,-39.9,-83,13.9,-9.6,-21.6,-58.8,-3.7,-32.125,-28.425
Jan,2001,-21.7,-32,-68.9,-90.3,28.3,-16.3,-26.7,-32.4,-0.6,-53.225,-52.625
Feb,2001,2.9,-15.9,-38.2,-38.3,107,38.9,34.7,-26.1,-0.2,-22.375,-22.175
Mar,2001,25.3,24.8,-13.2,-52.1,9.4,3.1,-25.6,-76.5,-4,-3.8,0.2
Apr,2001,21.5,14.8,11.4,5.3,25.2,20.4,-71.7,-95.9,-7.9,13.25,21.15
May,2001,23.7,14.7,11.7,-9.3,8.9,6.4,-2.6,-77.1,0.3,10.2,9.9
Jun,2001,126.1,13.6,4.3,-26,38.9,24.8,12,-74.7,1.1,29.5,28.4
Jul,2001,6.8,-4.1,-4.9,-12.4,86.1,31.1,23.6,4.7,-1,-3.65,-2.65
Aug,2001,5,4.7,-27.7,-51.2,29,9.1,-49.8,-73.1,-2.5,-17.3,-14.8
Sep,2001,39.1,-1.1,-4.5,-8,39,31.9,14.1,5.4,2.4,6.375,3.975
Oct,2001,15.4,15,-10.3,-47.6,71.1,22.8,0.8,-22.4,-7,-6.875,0.125
Nov,2001,-9.3,-10.5,-35.2,-52.8,3.1,-25.5,-28,-32.2,-16.5,-26.95,-10.45
Dec,2001,51.7,7.1,0.2,-24.8,27.5,1.5,-22.3,-37.5,-10.3,8.55,18.85
Jan,2002,51.9,23.4,-1.7,-5.4,6.5,-0.5,-7.8,-19.6,-4.9,17.05,21.95
Feb,2002,7.6,-8.8,-15.1,-26.4,2.5,-2.5,-6.7,-8.2,-5.2,-10.675,-5.475
Mar,2002,93,28,22.1,10.8,32.3,3.2,-42.5,-49.1,18,38.475,20.475
Apr,2002,84.4,52.5,17.5,-2.2,11.5,11.4,-41.4,-52.8,12.7,38.05,25.35
May,2002,16.8,14.6,-10.9,-12.6,50.9,-1.3,-14.1,-23.3,0.5,1.975,1.475
Jun,2002,32.8,32,-2.8,-39.8,17,-2.7,-26.5,-36,1.2,5.55,4.35
Jul,2002,35.7,-10.4,-11.9,-21.4,35.4,6.4,-68.3,-77.6,-6.9,-2,4.9
Aug,2002,14.3,-9.2,-21,-25,8.2,4,-15,-51.3,-12.1,-10.225,1.875
Sep,2002,-16.4,-50.5,-51.2,-61.1,23.4,-28.1,-34.1,-75.6,-17.6,-44.8,-27.2
